Source,Target,Area,AreaA,AreaB
20091002000011.0,20101002000011.0,2591.9204375121167,0.999995366467445,0.9999981886510361
20091002000029.0,20101002000029.0,2559.6120552428615,0.9999959353864575,0.9999959353864575
20091002000033.0,20101002000033.0,4445.332923701883,0.9999972497540996,0.9999959929972457
20091002000026.0,20101002000026.0,2292.602516281819,0.9999954337721255,0.9999948702774358
20091002000016.0,20101002000016.0,1845.1842671556171,0.9999988503984772,0.9999943512974641
20091002000009.0,20101002000009.0,2549.8849434167964,0.9999955364979976,0.9999962282220098
20091002000006.0,20101002000006.0,5188.362204830749,0.9999991425260233,0.9999963752907927
20091002000032.0,20101002000032.0,880.0820597711177,0.9999921240358014,0.9999982409872825
20091002000027.0,20101002000027.0,2473.383664121356,0.9999962267017429,0.9999995864012476
20091002000017.0,20101002000017.0,4290.506374272561,0.9999977801710084,1.0000000000000002
20091002000028.0,20101002000028.0,2565.034440228191,0.9999991799537165,0.9999963577965866
20091002000001.0,20101002000001.0,13196.026914099852,0.999999288917344,0.9999972874915646
20091002000020.0,20101002000020.0,2573.502962210373,0.9999994860654323,0.9999957737804364
20091002000030.0,20101002000030.0,2556.991280780278,0.9999963469744865,0.999999584711948
20091002000005.0,20101002000005.0,2506.5153221831956,0.999992096975563,0.9999954288351842
20091002000024.0,20101002000024.0,3988.368537985538,0.9999953466640509,0.9999975798497968
20091002000019.0,20101002000019.0,1988.7088356196978,1.0,1.0
20091002000022.0,20101002000022.0,3124.0349873929695,0.9999991971750948,0.9999948735396014
20091002000031.0,20101002000031.0,2685.422864338765,0.9999991216226902,0.9999962555649076
20091002007501.0,20101002007501.0,5498.811153216004,0.9999984227760285,0.9999990627740678
20091002000021.0,20101002000021.0,3637.942358023928,0.9999968663192301,0.999998368436346
20091002000012.0,20101002000012.0,5314.692002611479,0.9999974578456463,0.9999991304061738
20091002000010.0,20101002000010.0,2759.1484298198907,0.9999973256714241,0.9999965921077196
20091002000008.0,20101002000008.0,2568.8754327425722,0.9999963410066962,0.999999595608864
