Source,Target,Area,AreaA,AreaB
20091003507501.0,20101003507501.0,10276.047026386705,0.9999999999999998,0.9999984538427721
20091003500078.0,20101003500078.0,2127.4128636358323,0.9999922878704336,0.9999951493792654
20091003501101.0,20101003507502.0,2294.0792280572373,0.99999564666898,0.9999955711229847
20091003500077.0,20101003500077.0,1743.648878289981,0.9999953061117283,0.9999924462036139
20091003500017.0,20101003500017.0,2635.0151886568647,0.9999996393039006,0.9999940457736285
20091003500023.0,20101003500023.0,5423.079564715843,0.9999951849555669,0.9999974793072148
20091003500050.0,20101003500050.0,2782.0169818362497,0.9999989998992442,0.9999987526577275
20091003500007.0,20101003500007.0,2627.507685105259,0.9999962397794687,0.9999978980232248
20091003500080.0,20101003500080.0,2466.492577349308,0.9999999999999998,0.9999980547271645
20091003500031.0,20101003500031.0,3986.9769128393123,0.9999997580198272,0.9999981985644609
20091003500036.0,20101003500036.0,1778.1367479445378,0.9999958433149766,1.0
20091003500034.0,20101003500034.0,2542.8075934543526,0.9999945597513866,0.9999986745677619
20091003500048.0,20101003500048.0,5514.619937560175,0.9999989554154753,0.9999982812851277
20091003500079.0,20101003500079.0,2151.5984136734332,0.9999951994920662,1.0000000000000002
20091003500002.0,20101003500002.0,2587.5793593228527,0.9999991016352631,0.9999933499973335
20091003500037.0,20101003500037.0,1890.2731866023619,0.9999982750032035,0.9999970251685738
20091003500028.0,20101003500028.0,2615.025667612339,0.9999942646421996,0.999995025266614
20091003500071.0,20101003500071.0,5222.443958835297,0.9999975178441504,0.9999991654706609
20091003500014.0,20101003500014.0,2343.2435823321835,0.9999958661552489,0.9999958661552489
20091003500054.0,20101003500054.0,1005.4162971600592,1.0,1.0
20091003500060.0,20101003500060.0,1108.4549751505715,0.9999960124894067,0.9999953023780322
20091003500001.0,20101003500001.0,1763.0720114378016,0.999994639523152,0.9999965670380919
20091003500020.0,20101003500020.0,2801.326768881576,1.0,0.999997751589523
