BBL,BOROUGH,BLOCK,ADDRESS,YEAR
20101001500015.0,MN,150,122 DUANE STREET,2010
20101001500017.0,MN,150,118 DUANE STREET,2010
20101001500025.0,MN,150,104 DUANE STREET,2010
20101001500019.0,MN,150,116 DUANE STREET,2010
20101001500038.0,MN,150,291 BROADWAY,2010
20101001507501.0,MN,150,70 READE STREET,2010
20101001500006.0,MN,150,66 READE STREET,2010
20101001500010.0,MN,150,74 READE STREET,2010
20101001507503.0,MN,150,106 DUANE STREET,2010
20101001500031.0,MN,150,299 BROADWAY,2010
20101001500005.0,MN,150,64 READE STREET,2010
20101001507502.0,MN,150,58 READE STREET,2010
20101001500022.0,MN,150,108 DUANE STREET,2010
20101001500004.0,MN,150,62 READE STREET,2010
20101001500012.0,MN,150,78 READE STREET,2010
