Source,Target,Area,AreaA,AreaB
20201002320003.0,20211002320003.0,3240.461200514929,0.9999999999999999,0.9999999999999999
20201002320004.0,20211002320004.0,6120.714313704222,1.0,1.0
20201002320005.0,20211002320005.0,7180.606127976191,0.9999999999999999,0.9999999999999999
20201002320001.0,20211002320001.0,6798.972394338247,1.0,1.0
20201002320006.0,20211002320006.0,6506.840188007229,1.0,1.0
20201002320008.0,20211002320008.0,3351.625396763882,1.0,1.0
20201002320009.0,20211002320009.0,8996.535539077255,1.0000000000000004,1.0000000000000004
20201002320011.0,20211002320011.0,2746.6899557469633,0.9999999999999999,0.9999999999999999
20201002320013.0,20211002320013.0,4113.9898545158085,0.9999999999999998,0.9999999999999998
20201002320021.0,20211002320021.0,6747.322908919337,1.0,1.0
20201002320023.0,20211002320023.0,3400.262243892041,0.9999999999999999,0.9999999999999999
20201002327501.0,20211002327501.0,4303.45998126586,1.0,1.0
20201002320010.0,20211002320010.0,2541.4635593143735,1.0,1.0
20201002320012.0,20211002320012.0,3250.934272608865,1.0,1.0
20201003460037.0,20211003460037.0,5230.767178567734,1.0,0.8216356474571914
20201003460039.0,20211003460039.0,15639.32559952186,1.0000000000000002,1.0000000000000002
20201003460075.0,20211003460037.0,1135.5182046287994,0.04540838765371058,0.17836432083659978
20201003460075.0,20211003460075.0,23871.2757536461,0.9545916030157608,0.9276581930989155
20201003460095.0,20211003460095.0,8590.145038159251,0.999999999888735,0.999999919607251
20201003467501.0,20211003467501.0,45136.340637261135,1.0,1.0
20201003460073.0,20211003460075.0,1861.5617919869685,0.9999999992357576,0.0723418834467967
20201003460001.0,20211003460001.0,19699.45453869808,1.0,1.0
20201003460150.0,20211003460150.0,40526.14929295359,1.0,1.0
20201003460175.0,20211003467502.0,39550.09045024447,1.0,1.0
20201003400001.0,20211003400001.0,201059.5116588915,1.0,1.0
20201003410050.0,20211003410050.0,3749.674862292171,1.0000000000000002,1.0000000000000002
20201003410058.0,20211003410058.0,56245.575290726534,1.0,1.0
20201003410070.0,20211003410070.0,74014.92298184414,1.0000000000000002,1.0000000000000002
